cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
Cn1nnnc1Sc1ncnc2scc(-c3cccc(C(F)(F)F)c3)c12,Cn1nnnc1Sc1ncnc2scc(-c3cccc(C(F)F)c3)c12,6.462306987936472,Cn1nnnc1Sc1ccc2nc(-c3cnc4n3CC(Sc3ccc(F)cc3)S4)sc2c1
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,OCCCCCCCCOCc1cc(COCCCCCCCO)ccc1O,6.554090102258957,CC(OCCCCCCCCO)c1cc(O)cc(COCCCCCO)c1
Oc1ccc(C=Cc2ccccc2F)c2cccnc12,Oc1ccc(C=Cc2ccccc2F)c2cccnc12,6.369990207616117,BrCc1cc2c(cn1)C1(C=CC=CC1)[NH+]=C2
Oc1ccc(CCc2c(F)cccc2F)c2cccnc12,Oc1ccc(CCc2c(F)cccc2F)c2cccnc12,5.9414239595322496,COc1ccc(CCc2cnc(F)c(F)n2)cc1
Cc1nc(C(=O)NNC(=O)c2ccc(Cl)cc2)cs1,CCC(=S)c1ccsc1NC(=O)c1ccc(F)cc1,6.64954147380617,CCC1(C)CC1C(=O)Nc1ccccc1S(=O)(=O)Cc1nnn[n-]1
CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,CC12CCC3=CC([O-])CCC3C1CCc1ccc(O)cc12,6.477532013523276,CC12CCC(O)C1C1CCC3=CC4CCCCCC4CC3C1CC2
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2O)C1O,6.4015250079514585,O=C1CC(c2ccc(O)cc2O)c2c(cc(O)c3c2CCC3O)O1
CC12CC(C=O)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,CCC12CCC3=CC4(C)CCc5ccc([N+](=O)[O-])cc5C4=CC3C1C(C(C)=O)C(=O)O2,5.840045349189289,CCC(=O)C12CC(O)C([N+](=O)[O-])CC1C1CCC3(C)CCC(C)CC3C1N2
CC12CCC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,CC12CCC(=O)CC1C1CCC3(C)C(CCC3(C)O)C1CC2,6.9504702552761115,CC1CCC=C2CCC3C4CC(=O)CCC4(C)CCC3C21C
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,COC(=O)Nc1cccc2nc(C(=O)NCc3ccc(F)cc3)[nH]c12,6.6611276389997975,COC(=O)NC(c1ccccc1)C1N=CNC1=O
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)Oc1ccccc1,7.392814923865822,CC1C=CC([NH+]2CCCC3(C)CCCCC23)C(O)C1
COc1cc(C=CC(=O)N2C(=O)C=CCC2C2CCCCC2)cc(OC)c1OC,COc1cc(C=CC(=O)N2C(=O)CC=C3CCCCC32)cc(OC)c1OC,6.7525987914921615,COc1ccc(C=CC(=O)N2CCC=CC2=O)cc1OC
O=C(Oc1cccc(C=NNc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)c1)c1ccco1,O=C(c1ccoc1OCCn1nc(Nc2ccccc2)c2ccccc21)N1CCN(c2ccccc2)CC1,6.29616424289538,O=C(Oc1cccc(C=NNc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)c1)c1ccccc1
c1ccc(-c2csc(Nc3nc(-c4ccccn4)nnc3-c3ccccc3)n2)cc1,c1ccc(-c2nn(-c3ccccc3)c(NCC3CCCC[NH+]3C3CCOCC3)c2-c2ccccn2)cc1,6.201933844547255,c1ccc(CNc2cc(-c3ccccc3)nn2Cc2ccccn2)cc1
O=C(CCCCCCC(=O)NN=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)NO,O=C(CCCCCC(=O)NN=Cc1ccc(-c2cccc3c2OCO3)cc1)NO,6.20108968883566,NNC(=O)CCCCCC(=O)NN=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1
c1ccc(-c2nnc(-c3ccccn3)nc2NCC2CCCCC2)cc1,O=[PH](CCNC1CCCCC1)Cc1ccccc1,6.407985621106015,BrC(c1ccccc1)c1ccccc1
CNC(=O)c1cccc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)c1,NC(=O)COc1ccc(Nc2ccc(Cl)c(C(=O)Nc3ccc(F)c(F)c3)c2)cc1,6.953501861421271,COC(=O)Nc1ccc(-c2ccc(NC(=O)OC(F)(F)F)cc2)cc1
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,Nc1ccccc1CNC(=O)c1ccc(OCCN2COCC2=O)cc1,6.137214488196363,Nc1c(F)cccc1NC(=O)COc1ccc(CN2COCC2=O)cc1
CC1NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(CCCCCC(=O)C2CO2)NC1=O,CC1NC(=O)C(CCCCCC(=O)OCC2CC=CC2)NC(=O)C(C)(C)NC(=O)CNC1=O,7.080207285945704,CC1(C)NC(=O)C(C2CO2)NC(=O)CNC(=O)C(CCCCC(=O)C2OC2=O)NC1=O
CC12CCC(=O)C=C1C(F)CC1C2CCC2(C)C(O)CCC12,CC1=C2CCC3C(C(O)CC4CCC(F)C43C)C2CCC1=O,6.160054817719983,CC1=C2CCC3CCSCC3([NH3+])C2CCC1=O
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,COC(=O)C=CC(C)=CC=CC=C(C)C(C)(C)C,7.269593055242188,CCC(C)(C)C(C)=CC=CC=C(C)COC(C)=O
Nc1ncc2nc[nH]c2n1,Nc1ncc2nc[nH]c2n1,6.237926432832684,Nc1ncccn1
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CC1CCC2(C)C(=CCC3C(=O)CCCC32)C1,6.846775474872638,CC12CCCC1C1C(=CC(=O)C3CC(=O)CCC31)CC2
CC1=NNC(=O)C1=Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1,CC1=NN(c2ccccc2)C(=O)C1=Cc1ccc2c(c1)OCCO2,6.5629367985843885,O=C1NN=C(c2ccc3c(c2)NCCO3)C1=Nc1cccc2[nH]cnc12
