cikarilan_smiles,baslangic_smiles,distance,optimized_smiles
CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,CC(=O)C1=C([O-])N2C(=O)C(C)(C)SC2=C(CO)C1(O)C=CC(C)(C)C,6.482541337852363,CC(=O)CN1C(C)=C2C(C)=C(C)C(=O)OC2C(CO)=C1C(C)(C)C
Cl.Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,NC1=NC(F)N(C2OC(CO)C(O)C2O)C(F)=C1,5.750515604044885,NC1=NCN(C2OC(F)C(O)C2F)C=C1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,COc1cccc2c1CC1CC(OC(=O)c3cc4c(c(O)c3O)C(C)C(O)C(=O)C4NC(C)=O)CCC1C2=O,6.355882485320932,COc1ccc2c(c1O)C(O)C13C(=O)CC(Nc4cccc(C)c4)CC1C(OC(C)=O)C(O)CC3C2=O
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,COC(=O)C1(C(=O)OC)CCC(O)C2NCC(C)(CC(O)C(C)C)CCNc3c(ccc4c3NCC4=O)OC21,5.889658668242999,COC1CCCCC12CNc1c(OC(C)CC(O)c3ccccc3)cccc12
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,CCC(=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1)c1ccccc1O,7.264782298041609,CCC(C(O)c1ccccc1C)[NH+]1CCCCC1
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,Cc1ccnc(-c2cnc(C)s2)c1,6.026517249797708,Cc1nc(CN2CCC(C)(C)C2C(N)=O)c(C(=O)NC(C)F)s1
Cn1ncnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,Cn1ncnc1C1=C(c2cccc(F)c2)NC(=O)CC1,6.388863017479075,Cn1ncnc1-c1nc2cc(F)ccc2o1
FCOC(C(F)(F)F)C(F)(F)F,OCC([NH+]1CCC(F)(F)CC1)C(F)(F)F,7.113598947007774,OCC(C(F)(F)F)[N+]12CCN(CC1)CC2
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,Cc1cc(Cn2nc(-c3ccccc3)nc2C#N)cc(C(C)(C)C#N)c1,6.2703797382157225,Cc1cc(C(C)C#N)cc(CN)c1C
C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4,C=C1CC(O)C(CC)CC(C(=O)C2OC(=C)C(O)C2(O)OC)OC(OC)CCCO1,6.790499292410719,CC1CC=CC(=O)N1CC=C1CCCCC1
