pert_id,SMILES,jtvae_1,jtvae_2,jtvae_3,jtvae_4,jtvae_5,jtvae_6,jtvae_7,jtvae_8,jtvae_9,jtvae_10,jtvae_11,jtvae_12,jtvae_13,jtvae_14,jtvae_15,jtvae_16,jtvae_17,jtvae_18,jtvae_19,jtvae_20,jtvae_21,jtvae_22,jtvae_23,jtvae_24,jtvae_25,jtvae_26,jtvae_27,jtvae_28,jtvae_29,jtvae_30,jtvae_31,jtvae_32,jtvae_33,jtvae_34,jtvae_35,jtvae_36,jtvae_37,jtvae_38,jtvae_39,jtvae_40,jtvae_41,jtvae_42,jtvae_43,jtvae_44,jtvae_45,jtvae_46,jtvae_47,jtvae_48,jtvae_49,jtvae_50,jtvae_51,jtvae_52,jtvae_53,jtvae_54,jtvae_55,jtvae_56
BRD-K35100517,CC(=NOC(=O)C1CCCCC1)c1nccs1,-1.5162646,-0.51789546,0.013482507,-1.8140676,-0.38763285,0.73796153,2.7260087000000004,-3.5546534,-0.72954553,-2.3879743,3.1884685,2.3392372000000003,-1.5315899,1.4067409,-2.9252775,1.3824855,0.9039196,-1.5846966999999998,-1.4613425,1.0480503,1.4268174,-1.3805459999999998,4.1488495,0.77140254,7.227898,-2.5862546,3.1965308,2.3928,-1.1796606,0.6474302,-0.3664704,0.90130484,0.50855017,0.7313046999999999,0.037523285,0.12240523,-0.022388756,-0.18518563,0.58320487,-1.1308578,0.32184082,1.116358,0.40972435,-0.9421052,1.0382091999999998,0.07894461,-0.063515455,-0.2151251,-0.7215128000000001,0.17937082,0.3437538,0.58719146,0.83136904,0.30116940000000003,-0.20144118,0.2489281
BRD-K99475920,COc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)c1cc2c(s1)CCCC2,2.6681232,1.4401906,-1.998158,-0.29560304,1.3844683999999998,1.4126698,2.8798041000000003,1.8400193,-0.294021,1.2714368,-2.119104,0.49576095,-3.5653775000000003,-3.0526726,7.000192,-2.9174580000000003,-2.4418504,2.2061908,-3.1663313,1.0972164,-1.0570276,1.729124,0.6913640999999999,-0.7917839,-0.05646772,5.6940756,-1.0351406,-0.22388923,-0.79114056,0.87978375,0.0631998,0.9502515,0.48982,0.7413909000000001,-0.47853768,-1.041341,-0.21402842,0.13840982,-0.4649169,-1.5714005,-0.16867527,0.64348733,0.98793226,-0.61231124,1.6482133999999995,1.4193448999999998,0.11024998,0.9630779,-0.20225617,0.6364163,0.022999236,0.6092508000000001,0.45711905,-0.57836497,0.33044565,-0.4789825
BRD-K97926541,COc1ccccc1Nc1nc(NCCCCO)nc(N2CCCC2)n1,-1.541516,-0.040007234,3.0388927000000003,-2.3615513,-1.1517141000000002,-0.6623783000000001,-0.5123498,0.7257484000000001,1.2511235,0.3053252,0.09231056,-0.032920763,0.63328314,1.3551984,-1.598769,6.7141213,-0.8601499,5.8203006,-2.254138,0.83758765,-2.513603,-7.547722999999999,-2.1989002,4.0515985,0.72121626,6.3066297,-2.0581080000000003,0.12782015,0.3833139,-1.0191332,0.28329715,-0.1620554,0.52692384,1.0024545,-0.16552289,-0.05649188,-0.4761388,-1.0705338,0.15473749,-0.3381829,-0.6663015999999999,0.35585359999999994,0.10649798,-0.69317365,0.50239664,0.13269731,-0.04800696,0.10517697,0.20655748,-0.092204586,-0.87133753,0.017662182,-0.25203946,0.36640182,-0.22754008,0.85534465
BRD-K65741250,CC1(C)c2[nH]c3ccccc3c2CC2C(=O)N(c3cc(F)ccc3F)C(=O)N21,-0.2759076,2.1580439,-4.8752074,1.9397736,-0.48838866,2.937281,-1.8420007,-0.44527376,-0.014474008,-1.9464536,-1.9151293000000005,4.894836,-2.1871521,5.571902,2.7137563,-0.6299515,-2.0006630000000003,-5.3133454,-3.078096,-3.4017544,-0.8776709,4.675803,2.1431897,1.3239423,-0.49376133,4.00795,-2.4314864,7.541196,-0.10073781,0.5935161999999999,-0.5487038000000001,1.1810653999999998,1.051041,0.62953275,-0.6771648,0.6982928,-0.26126814,0.56956536,-0.29675817,-0.9555261,-0.08292922400000001,1.2182263,-0.37377518,-0.40713435,1.4830638,0.4566748,-0.7420646,0.38806975,-0.31578457,0.51773864,-1.0696106,0.79033464,1.1502273,0.20393592,0.65327597,0.3129446
BRD-K98219271,CN(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,2.2764442000000003,-3.1517433999999995,-0.49094814,-1.4656525,-1.6649547999999998,-2.3696828,1.6331332,2.5980494,0.906241,-2.569834,-2.96831,5.3370690000000005,-0.13584870000000002,-3.1862066,3.097774,-6.2330427,-0.20673071,-0.44991887,-0.8982123,-0.27857515,-2.3357778,1.6858163000000002,3.9973083,1.9264684,-0.60712826,6.843705,-0.98037183,4.6444173,0.023710012000000003,0.015293315,0.9327634,0.8886322,0.25915608,0.8991941999999999,0.13602613,-0.33204812,0.07244027,0.5903329,0.66479707,-0.019647216,0.06432241,0.733286,0.32692468,0.59843874,1.2547174,-0.031627132999999995,0.10538353,0.2586716,-0.703766,-0.25940725,0.8391886000000001,-0.4976557,-0.16975151,-0.7073699000000001,-0.1009977,-0.020442039
BRD-K62902879,COc1cc(C2=CCN(C(C)=O)CC2)ccc1OC(C)=O,3.6024082,3.1779957000000003,-2.0787733,1.4535011,3.5750735,-3.8647075,0.29552534,-0.14656113,-0.32506317,0.6507139000000001,2.6898115,-0.95370877,-0.3898319000000001,1.3926040000000002,1.1371601,-1.3572725,0.32246062,-0.4245333,0.23737337,0.25501382,-2.1753368,2.274321,-2.147329,1.0997013999999998,-0.058326855,1.3410482,-0.4186997,1.5321403,0.16559832,0.53918046,-0.8822216,0.31789290000000003,0.5268338,0.6054728,-0.56294966,-0.30951768,1.1346124,-0.22057928,0.47868028,0.99306077,0.16930562,0.5889689,-0.013076168,-0.6713074,2.4426827,-0.31550264,0.7185324000000001,-0.03735637,0.876625,-0.47832927,-0.117327884,0.79549146,-1.5712101,-0.5483611999999999,-1.0098838,0.800265
BRD-K98025142,Cc1ccc(N2CCN(S(=O)(=O)N3CCCCC3)CC2)c(C)c1,-0.40435144,-1.865692,-3.3421903,-0.4484406,0.71501994,-1.7400391,-0.57121325,-1.9260157,-0.7950085,-3.9138942,-3.7858508,0.99656653,-3.3617253,0.71324015,-1.1317687,-0.72331816,-1.7532127,3.183219,3.8895109,-1.2623882,-0.8804972,1.1946826,-0.44141474,0.97176826,-2.8870444,1.8841062,2.3326952000000003,6.027188,0.24488415,0.21038684,-0.6588238000000001,1.2732198,0.23669723,1.3599938,0.054411247,-0.8308344999999999,-0.20458667,-0.025722414,0.5831916,0.9862982,-0.34066436,-0.14476147,0.90495604,0.69378847,1.7543412,0.34765807,0.22197986,-0.008896053000000001,-0.92906153,-0.5286076999999999,0.04319013,-0.38364673,0.29564917,-0.6539809,-0.43636104,0.5739034000000001
BRD-K82115270,COc1ccccc1CN1C(=O)C2Cc3c([nH]c4ccccc34)C(C)(C)N2C1=O,-0.5583656,0.6968705,-1.9273078,-1.5255847,1.7544036,-4.506028,-1.1920776000000002,1.8867791,3.516938,-0.013740856,1.045033,0.6588957,-4.319033599999999,2.4349592,2.1955519,0.76100147,3.0746968,-0.43785575,-0.90617555,0.08238034,4.4383583,3.341293,0.3227644,0.22967070000000006,-0.2909035,4.1189084000000005,0.83542556,0.65149266,-0.25094643,0.29179406,-0.8957433000000001,0.34778258,1.2196672,0.6095064,-0.50500196,0.35328203,-0.8528464,0.13317591,-0.08357185,-0.96340966,-0.81774676,0.68767965,0.14195152,0.105886966,0.7825489000000001,0.5800003,-0.20430341,0.045089185,-0.6040581,-0.30679697,-0.95749277,1.1399957,0.90104115,-0.13811931,1.2840617,0.34331548
BRD-A35141262,OC1c2c(F)cccc2N=C2CCCCN21,-0.29274058,1.0022212,-2.8121133,-1.4934663,-0.60416454,0.17856997,-0.6974587,-3.851659,-2.9570517999999995,-2.9381258,-0.013895765,-0.81406504,-3.038405,7.261437400000001,-1.481409,0.5270333,0.70570993,-1.3273233,-0.06970391,-0.13535917,-1.4687563999999995,0.40291545,1.571576,2.314103,1.9922011,4.175907,0.03855924,-2.0135055,0.39802945,-0.14835668,0.9500378,-1.038687,1.0699501,-0.05894444,0.74008864,-0.51116174,-0.93864596,0.091707215,-1.0741382,1.144099,-0.45672023,0.17810738,0.7859235,-1.5701903999999998,2.4374485,-1.6216098,-0.48967552,-1.4850305,-0.5319586,1.1416117,0.3964945,2.042145,1.1052822,2.1141427000000004,1.6600955000000002,0.95462257
BRD-K96352593,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccccc1,-3.1141183,2.6015816000000003,0.357164,-2.4703913,1.7558237,0.89214057,0.644142,1.1568006000000002,-4.2420764,0.29456604,-0.11913952,-0.37100035,-2.5302668,2.9809096,-4.0530800000000005,-3.011596,2.5381355,-0.32701679999999994,2.6609902,1.536783,-2.0277767,2.432646,0.73589647,-3.244582,-2.6266873,4.6004095000000005,-0.1746273,3.7704036,0.16307826,0.7466709,1.1041076,0.41030058,-0.006259188000000001,0.6229805,0.32059985,0.13786732,-0.40007502,-0.12817599,-0.028488293,0.447728,0.4942593,0.24750885,-0.33899716,0.08203375,1.6051698,-0.0066582263,0.43821707,-0.67811257,-0.72811115,-0.44451168,-0.24708584,0.46656057,0.8112198,0.688638,0.013369113,0.06913252
